time,open,high,low,close,OnBalanceVolume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,%K,%D,Histogram,MACD,Signal
2023-08-13,29430.18,29474.65,29272.32,29303.84,-1602324.3214400038,46.669650842539845,46.947040872439,NaN,NaN,NaN,NaN,NaN,NaN,43.305795091358604,48.30127238738459,24.156975582781982,-70.47755354423862,-94.6345291270206
2023-08-14,29303.85,29695.32,29102.45,29430.93,-1570881.2061200037,49.333822595658766,47.368583755099294,NaN,NaN,NaN,NaN,NaN,NaN,50.96966773201471,48.39976682948396,25.952947018253113,-62.19334535420421,-88.14629237245732
2023-08-15,29430.92,29499.26,29059.6,29200,-1598385.0830300038,44.94062663764255,46.92764318875692,NaN,NaN,NaN,NaN,NaN,NaN,32.338282662657136,42.20458182867682,11.784330568849526,-73.41587916139542,-85.20020973024495
2023-08-16,29200.01,29259.85,28723.08,28730.51,-1631381.7815700038,37.60818158942826,46.467934091803826,NaN,NaN,NaN,NaN,NaN,NaN,1.9106009838168947,28.406183792829584,-26.899038747958386,-118.82400816519294,-91.92496941723455
2023-08-17,28730.51,28783.48,25166,26623.41,-1731653.3219000038,21.026679451486686,44.81511524379896,NaN,NaN,NaN,NaN,NaN,NaN,28.70047262701851,20.983118757830848,-183.3670701855629,-321.1338071491882,-137.7667369636253
2023-08-18,26623.41,26832.6,25619,26054,-1801443.9790100039,18.635524193870665,43.06699563854094,NaN,NaN,18.635524193870665,NaN,NaN,NaN,17.48719968491532,16.03275776525024,-306.9082190931835,-521.4020108301047,-214.4937917369212
2023-08-19,26054,26281,25801.09,26100.01,-1775283.2255800038,19.432797443607853,41.416973191954874,NaN,NaN,NaN,NaN,NaN,NaN,18.393265064986185,21.52697912564,-363.3610321837939,-668.6950819666636,-305.33404978286967
2023-08-20,26100.01,26299,25971.05,26189.99,-1756226.3134900038,21.06185973642799,39.860451674545786,NaN,NaN,NaN,NaN,NaN,NaN,20.16522252855458,18.681895759485357,-371.1705903844986,-769.2972877634929,-398.1266973789943
2023-08-21,26190,26258.42,25812,26126.92,-1786493.5558200039,20.74522462329317,38.104961981691254,NaN,NaN,NaN,NaN,NaN,NaN,18.923198109491892,19.16056190101088,-357.0034294428122,-844.3809841825096,-487.37755473969736
2023-08-22,26126.92,26139.42,25300,26056,-1820740.622700004,20.374308413608063,35.639277638123524,NaN,NaN,NaN,NaN,NaN,NaN,17.821385662795354,18.969935433613937,-329.49163832005934,-899.2421026397715,-569.7504643197121
